project_id,snapshot_month,dataset_split,sector_name,ministry_name,agency_name,state_name,time_elapsed_pct,cost_escalation_pct,expenditure_pct,physical_progress_pct,physical_financial_gap,progress_deviation,progress_velocity,schedule_slippage_months,overall_risk_score,active_warnings_count,target_cost_overrun_binary
400019,2026-04,val,Railways,Ministry of Railways,Central Railway,Maharashtra,91.58,137.61,44.35,25.0,-19.35,-66.58,0.0,9.0,89.21,6,1.0
400019,2026-05,test,Railways,Ministry of Railways,Central Railway,Maharashtra,92.63,137.61,46.31,25.0,-21.31,-67.63,0.0,9.0,90.09,8,1.0
400019,2026-06,test,Railways,Ministry of Railways,Central Railway,Maharashtra,93.68,137.61,47.86,38.0,-9.86,-55.68,13.0,9.0,67.84,4,1.0
400022,2025-07,train,Railways,Ministry of Railways,North Western Railway [NWR],,37.5,0.0,67.62,14.0,-53.62,-23.5,,0.0,40.73,2,1.0
400022,2025-08,train,Railways,Ministry of Railways,North Western Railway [NWR],,38.54,0.0,68.46,15.0,-53.46,-23.54,1.0,0.0,40.33,2,1.0
400022,2025-09,train,Railways,Ministry of Railways,North Western Railway [NWR],,39.58,0.0,69.04,16.0,-53.04,-23.58,1.0,0.0,40.06,2,1.0
400022,2025-10,train,Railways,Ministry of Railways,North Western Railway [NWR],,40.62,0.0,72.0,17.0,-55.0,-23.62,1.0,0.0,38.63,2,1.0
400022,2025-11,train,Railways,Ministry of Railways,North Western Railway [NWR],,41.67,0.0,72.8,17.0,-55.8,-24.67,0.0,0.0,49.18,4,1.0
400022,2025-12,train,Railways,Ministry of Railways,North Western Railway [NWR],,42.71,0.0,74.99,17.0,-57.99,-25.71,0.0,0.0,48.55,4,1.0
400022,2026-01,train,Railways,Ministry of Railways,North Western Railway [NWR],,43.75,0.0,77.98,20.0,-57.98,-23.75,3.0,0.0,35.76,2,1.0
400022,2026-02,val,Railways,Ministry of Railways,North Western Railway [NWR],,44.79,0.0,82.62,30.0,-52.62,-14.79,10.0,0.0,29.72,2,1.0
400022,2026-03,val,Railways,Ministry of Railways,North Western Railway [NWR],,45.83,0.0,82.98,30.0,-52.98,-15.83,0.0,0.0,40.48,4,1.0
400022,2026-04,val,Railways,Ministry of Railways,North Western Railway [NWR],,46.88,0.0,87.18,37.0,-50.18,-9.88,7.0,0.0,25.43,2,1.0
400022,2026-05,test,Railways,Ministry of Railways,North Western Railway [NWR],,47.92,0.0,91.83,37.0,-54.83,-10.92,0.0,0.0,34.09,4,1.0
400022,2026-06,test,Railways,Ministry of Railways,North Western Railway [NWR],,48.96,0.0,93.51,45.0,-48.51,-3.96,8.0,0.0,19.84,2,1.0
400022,2026-07,test,Railways,Ministry of Railways,North Western Railway [NWR],,50.0,14.3,61.08,48.0,-13.08,-2.0,3.0,0.0,31.73,2,1.0
400023,2025-07,train,Railways,Ministry of Railways,South Western Railway [SWR] - II,Karnataka,-31.25,0.0,0.0,0.0,0.0,0.0,,0.0,13.11,0,0.0
400023,2025-08,train,Railways,Ministry of Railways,South Western Railway [SWR] - II,Karnataka,70.64,0.0,0.0,0.0,0.0,-70.64,0.0,0.0,53.28,2,0.0
400023,2025-10,train,Railways,Ministry of Railways,South Western Railway [SWR] - II,Karnataka,72.48,0.0,0.0,0.0,0.0,-72.48,0.0,0.0,54.05,2,0.0
400023,2025-11,train,Railways,Ministry of Railways,South Western Railway [SWR] - II,Karnataka,73.39,0.0,0.0,0.0,0.0,-73.39,0.0,0.0,54.43,2,0.0
400023,2025-12,train,Railways,Ministry of Railways,South Western Railway [SWR] - II,Karnataka,74.31,0.0,0.0,0.0,0.0,-74.31,0.0,0.0,54.82,2,0.0
400023,2026-01,train,Railways,Ministry of Railways,South Western Railway [SWR] - II,Karnataka,75.23,0.0,0.13,0.0,-0.13,-75.23,0.0,0.0,55.19,2,0.0
400023,2026-02,val,Railways,Ministry of Railways,South Western Railway [SWR] - II,Karnataka,76.15,0.0,0.13,0.0,-0.13,-76.15,0.0,0.0,55.57,2,0.0
400023,2026-03,val,Railways,Ministry of Railways,South Western Railway [SWR] - II,Karnataka,77.06,0.0,0.13,0.3,0.17,-76.76,0.3,0.0,45.33,0,0.0
400023,2026-04,val,Railways,Ministry of Railways,South Western Railway [SWR] - II,Karnataka,77.98,0.0,0.13,0.3,0.17,-77.68,0.0,0.0,56.22,2,0.0
400023,2026-05,test,Railways,Ministry of Railways,South Western Railway [SWR] - II,Karnataka,78.9,0.0,0.13,0.0,-0.13,-78.9,-0.3,23.0,58.59,4,0.0
400023,2026-06,test,Railways,Ministry of Railways,South Western Railway [SWR] - II,Karnataka,79.82,0.0,0.46,0.5,0.04,-79.32,0.5,23.0,48.05,2,0.0
400023,2026-07,test,Railways,Ministry of Railways,South Western Railway [SWR] - II,Karnataka,80.73,0.0,0.46,0.5,0.04,-80.23,0.0,23.0,58.55,4,0.0
